user,friend
157,170
157,173
157,178
157,185
157,194
157,196
157,212
157,249
157,268
157,272
157,288
157,295
157,296
158,40
158,56
158,96
158,104
158,195
159,233
161,195
162,6
162,40
162,49
162,124
162,142
162,157
162,185
163,0
163,5
163,48
163,96
163,104
163,108
163,111
163,165
163,192
163,197
163,217
163,221
163,225
163,268
163,288
163,295
164,10
165,5
165,6
165,17
165,91
165,96
165,138
165,157
165,163
165,193
165,196
165,232
165,268
165,288
165,295
166,2
167,170
168,62
169,96
169,172
169,207
170,17
170,132
170,157
170,167
170,224
170,288
171,69
171,139
171,172
171,232
171,266
172,0
172,6
172,16
172,36
172,39
172,45
172,65
172,69
172,83
172,93
172,96
172,104
172,120
172,122
172,169
172,171
172,192
172,207
172,224
172,225
172,258
172,266
172,268
172,288
173,2
173,75
173,131
173,154
173,157
173,174
173,196
173,257
173,270
173,272
173,296
174,75
174,120
174,173
174,196
175,36
175,50
175,56
175,69
175,115
175,118
175,296
177,89
177,229
178,40
178,83
178,91
178,157
178,185
178,196
178,224
178,272
178,288
179,42
180,8
182,131
184,196
185,19
185,36
185,37
185,62
185,65
185,111
185,118
185,121
185,142
185,150
185,157
185,162
185,178
185,196
185,207
185,212
185,232
185,239
185,249
185,253
185,268
185,272
185,283
185,288
185,290
185,296
186,16
186,36
186,38
186,91
186,138
186,283
186,288
187,8
187,14
187,53
187,136
187,148
187,190
187,203
187,260
190,26
190,41
190,71
190,79
190,87
190,120
190,132
190,187
190,222
190,226
190,228
190,250
190,257
190,260
190,267
190,282
192,96
192,108
192,163
192,172
192,197
192,225
192,288
193,6
193,48
193,49
193,50
193,83
193,104
193,138
193,165
193,207
193,225
193,234
194,11
194,14
194,72
194,157
194,272
194,279
195,24
195,38
195,41
195,46
195,156
195,158
195,161
195,225
196,2
196,55
196,59
196,75
196,79
196,80
196,120
196,131
196,138
196,142
196,150
196,157
196,165
196,173
196,174
196,178
196,184
196,185
196,203
196,205
196,239
196,253
196,257
196,260
196,263
196,282
196,288
196,297
197,0
197,7
197,24
197,61
197,96
197,104
197,163
197,192
197,223
198,0
198,40
198,96
198,142
199,7
200,202
202,200
203,16
203,187
203,196
203,222
203,251
203,265
204,12
204,56
204,212
204,288
205,196
205,224
206,37
207,4
207,40
207,122
207,169
207,172
207,185
207,193
207,225
207,232
209,135
210,45
210,84
210,132
210,140
211,96
212,6
212,24
212,43
212,49
212,56
212,65
212,157
212,185
212,204
212,225
214,152
216,9
216,29
216,41
217,12
217,163
219,7
219,27
219,48
219,138
219,224
221,163
222,79
222,115
222,190
222,203
222,226
223,197
224,17
224,48
224,49
224,56
224,63
224,65
224,89
224,91
224,120
224,150
224,170
224,172
224,178
224,205
224,219
224,225
224,234
224,253
224,288
225,0
225,6
225,16
225,17
225,43
225,48
225,55
225,61
225,63
225,65
225,108
225,115
225,132
225,138
225,150
225,163
225,172
225,192
225,193
225,195
225,207
225,212
225,224
225,251
225,258
225,265
225,266
225,277
225,283
225,288
226,190
226,222
226,248
227,116
227,140
228,190
229,20
229,36
229,38
229,62
229,83
229,150
229,177
230,233
232,0
232,6
232,83
232,96
232,142
232,165
232,171
232,185
232,207
232,258
233,159
233,230
233,294
234,0
234,6
234,17
234,132
234,193
234,224
236,151
239,24
239,150
239,185
239,196
239,283
241,257
243,283
244,30
245,151
245,294
248,226
249,0
249,64
249,118
249,142
249,157
249,185
250,55
250,72
250,88
250,96
250,108
250,190
251,12
251,203
251,225
251,265
252,153
252,264
253,24
253,185
253,196
253,224
253,288
256,0
256,124
257,173
257,190
257,196
257,241
258,7
258,24
258,43
258,45
258,62
258,69
258,85
258,110
258,172
258,225
258,232
258,295
259,56
260,30
260,75
260,187
260,190
260,196
263,75
263,196
264,153
264,252
265,60
265,152
265,203
265,225
265,251
266,69
266,104
266,171
266,172
266,225
267,190
268,24
268,142
268,157
268,163
268,165
268,172
268,185
270,173
272,24
272,38
272,40
272,47
272,55
272,57
272,62
272,75
272,118
272,131
272,150
272,157
272,173
272,178
272,185
272,194
272,292
273,76
273,101
277,225
278,31
279,194
282,8
282,114
282,120
282,140
282,190
282,196
282,297
283,19
283,48
283,63
283,91
283,118
283,150
283,185
283,186
283,225
283,239
283,243
288,6
288,16
288,36
288,37
288,43
288,49
288,55
288,65
288,83
288,91
288,115
288,138
288,157
288,163
288,165
288,170
288,172
288,178
288,185
288,186
288,192
288,196
288,204
288,224
288,225
288,253
290,83
290,96
290,108
290,124
290,185
290,295
292,272
293,15
293,113
293,118
294,233
294,245
295,6
295,7
295,24
295,83
295,122
295,157
295,163
295,165
295,258
295,290
296,24
296,36
296,38
296,83
296,88
296,104
296,157
296,173
296,175
296,185
297,8
297,120
297,140
297,196
297,282
